food_name,aliases,category,kcal_per_100g,protein_g_per_100g,carbs_g_per_100g,fat_g_per_100g,grams_per_piece,grams_per_bowl,grams_per_serving
roti,chapati|phulka|wheat roti,flatbread,264,9.6,52.0,2.5,40,,80
tandoori roti,,flatbread,280,9.0,55.0,3.0,50,,100
paratha,plain paratha,flatbread,326,7.5,45.0,13.0,70,,140
aloo paratha,potato paratha,flatbread,250,5.5,35.0,10.0,120,,120
naan,butter naan,flatbread,310,9.0,53.0,6.0,90,,90
bhatura,bhature,flatbread,350,7.0,45.0,16.0,80,,160
puri,poori,flatbread,380,7.0,45.0,19.0,25,,75
missi roti,,flatbread,290,11.0,48.0,6.0,50,,100
thepla,,flatbread,330,9.0,45.0,13.0,45,,90
bread slice,white bread|sandwich bread,flatbread,265,9.0,49.0,3.2,30,,60
pav,ladi pav|bun,flatbread,280,8.0,53.0,3.5,45,,90
rice,white rice|cooked rice|steamed rice|chawal,grain,130,2.7,28.0,0.3,,150,200
brown rice,,grain,123,2.7,26.0,1.0,,150,200
jeera rice,cumin rice,grain,170,3.0,30.0,4.0,,150,200
veg biryani,vegetable biryani,grain,180,4.5,26.0,6.0,,200,250
chicken biryani,,grain,200,10.0,24.0,7.0,,200,250
pulao,pilaf|veg pulao,grain,165,3.5,28.0,4.5,,150,200
khichdi,khichri,grain,120,4.5,20.0,2.5,,200,250
poha,flattened rice,grain,130,2.5,24.0,3.0,,150,200
upma,uppma,grain,145,3.5,22.0,5.0,,150,200
daliya,broken wheat|bulgur porridge,grain,120,4.0,24.0,1.0,,200,250
idli,,grain,130,4.0,26.0,0.5,40,,80
dosa,plain dosa|sada dosa,grain,165,4.0,28.0,4.0,90,,90
masala dosa,,grain,190,4.0,30.0,6.0,150,,150
uttapam,uttapa,grain,155,4.5,26.0,4.0,100,,100
medu vada,vada|urad vada,snack,280,8.0,32.0,13.0,45,,90
dhokla,khaman,snack,160,6.0,24.0,4.0,40,,120
dal tadka,tadka dal|dal,dal,120,6.0,16.0,3.5,,150,200
dal fry,,dal,130,6.0,16.0,4.5,,150,200
moong dal,yellow moong dal,dal,105,7.0,15.0,1.5,,150,200
toor dal,arhar dal|tur dal,dal,115,6.5,16.0,2.5,,150,200
masoor dal,red lentil dal,dal,110,7.0,15.0,2.0,,150,200
chana dal,,dal,140,8.0,20.0,3.0,,150,200
urad dal,black gram dal,dal,130,7.5,18.0,3.0,,150,200
dal makhani,,dal,180,7.0,16.0,9.0,,150,200
sambar,,dal,85,3.5,12.0,2.5,,150,200
